createdAt,status,restaurantName,pickupDeadline,driverArrivedAtRestaurantAt,pickedAt
2021-01-23 19:55:34.095,complete,GoodFood Basel 2,2021-01-23 20:27:00.000,2021-01-23 20:30:49.055,2021-01-23 20:34:33.973
2021-01-23 19:56:15.699,complete,GoodFood Basel,2021-01-23 20:28:00.000,2021-01-23 20:06:50.691,2021-01-23 20:14:49.445
2021-01-23 20:17:57.381,complete,GoodFood Genève,2021-01-23 20:43:00.000,2021-01-23 20:33:49.524,2021-01-23 20:33:49.793
2021-01-23 20:20:55.946,error_payment,Maria - Rive Gauche,2021-01-23 20:53:00.000,,
2021-01-23 20:23:07.864,error_payment,Maria - Rive Gauche,2021-01-23 20:53:00.000,,
2021-01-23 20:24:39.526,complete,Pizza Princess Lausanne,2021-01-23 20:54:00.000,2021-01-23 20:46:37.614,2021-01-23 20:46:40.033
2021-01-23 20:27:12.073,error_payment,Maria,2021-01-23 20:53:00.000,,
2021-01-23 20:30:09.866,complete,GoodFood Genève,2021-01-23 20:59:00.000,2021-01-23 20:45:32.843,2021-01-23 20:52:10.077
2021-01-23 20:37:06.372,error_payment,Pizza Princess Neuchâtel,2021-01-23 21:00:00.000,,
2021-01-23 20:39:11.677,complete,GoodFood Genève,2021-01-23 21:11:00.000,2021-01-23 20:41:17.159,2021-01-23 20:46:58.738
2021-01-23 20:49:49.684,complete,Maria - Rive Gauche,2021-01-23 21:11:00.000,2021-01-23 20:58:32.936,2021-01-23 21:00:25.994
2021-01-23 20:50:43.761,complete,GoodFood Genève,2021-01-23 21:11:00.000,2021-01-23 21:09:10.730,2021-01-23 21:14:10.720
2021-01-23 21:16:46.874,complete,GoodFood Basel,2021-01-23 21:41:00.000,2021-01-23 21:31:16.073,2021-01-23 21:33:29.831
2021-01-23 21:27:42.060,complete,GoodFood Basel,2021-01-23 21:56:00.000,2021-01-23 21:31:33.072,2021-01-23 21:36:35.381
2021-01-23 23:19:56.746,error_payment,GoodFood Basel,2021-01-23 23:50:00.000,,
2021-01-24 10:16:20.626,complete,Maria,2021-01-24 12:00:00.000,,
2021-01-24 10:59:02.529,complete,GoodFood Basel 2,2021-01-24 11:27:00.000,2021-01-24 11:15:54.017,2021-01-24 11:36:42.329
2021-01-24 11:06:51.493,complete,Pizza Princess Lausanne,2021-01-24 11:50:00.000,2021-01-24 11:28:46.196,2021-01-24 11:28:52.891
2021-01-24 11:18:50.975,complete,Maria,2021-01-24 12:24:00.000,2021-01-24 11:59:18.963,2021-01-24 12:16:49.635
2021-01-24 11:24:02.064,error_payment,GoodFood Basel,2021-01-24 11:57:00.000,,
2021-01-24 11:41:31.742,complete,GoodFood Genève,2021-01-24 12:10:00.000,2021-01-24 11:44:19.953,2021-01-24 11:56:09.284
2021-01-24 12:07:15.515,complete,GoodFood Lausanne,2021-01-24 12:28:00.000,2021-01-24 12:12:52.907,2021-01-24 12:20:12.372
2021-01-24 12:09:00.396,complete,GoodFood Basel,2021-01-24 12:41:00.000,2021-01-24 12:25:25.028,2021-01-24 12:40:18.119
2021-01-24 12:33:17.436,complete,GoodFood Genève,2021-01-24 12:56:00.000,2021-01-24 12:36:40.893,2021-01-24 12:45:45.613
2021-01-24 12:37:29.624,complete,GoodFood Genève,2021-01-24 12:57:00.000,2021-01-24 12:45:51.290,2021-01-24 12:49:53.863
2021-01-24 12:48:09.798,error_payment,Maria,2021-01-24 13:13:00.000,,
2021-01-24 12:49:34.740,complete,GoodFood Genève,2021-01-24 13:11:00.000,2021-01-24 13:23:23.742,2021-01-24 13:23:26.174
2021-01-24 13:00:08.650,error_payment,Red Pat - Craft Burgers & Beer,2021-01-24 13:21:00.000,,
2021-01-24 13:14:14.323,complete,GoodFood Genève,2021-01-24 13:37:00.000,2021-01-24 13:30:06.878,2021-01-24 13:48:09.524
2021-01-24 13:15:03.176,complete,GoodFood Basel,2021-01-24 13:41:00.000,2021-01-24 13:16:36.438,2021-01-24 13:19:13.957
2021-01-24 13:30:14.885,complete,Maria,2021-01-24 14:04:00.000,2021-01-24 13:37:12.030,2021-01-24 13:40:23.821
2021-01-24 13:53:31.891,complete,GoodFood Basel,2021-01-24 14:26:00.000,2021-01-24 13:57:50.164,2021-01-24 14:01:09.290
2021-01-24 14:07:38.641,complete,Maria,2021-01-24 14:27:00.000,2021-01-24 14:25:12.135,2021-01-24 14:27:14.009
2021-01-24 14:10:46.315,complete,Pizza Princess Genève,2021-01-24 14:36:00.000,2021-01-24 14:14:51.145,2021-01-24 14:44:23.284
2021-01-24 14:19:38.501,complete,GoodFood Lausanne,2021-01-24 14:39:00.000,2021-01-24 14:54:46.680,2021-01-24 15:01:23.732
2021-01-24 14:32:00.162,canceled,GoodFood Genève,2021-01-24 14:53:00.000,,
2021-01-24 15:00:01.339,complete,GoodFood Basel,2021-01-24 15:27:00.000,2021-01-24 15:22:56.064,2021-01-24 15:29:20.733
2021-01-24 15:07:25.341,complete,GoodFood Basel,2021-01-24 15:29:00.000,2021-01-24 15:13:06.594,2021-01-24 15:19:45.275
2021-01-24 15:14:38.113,complete,GoodFood Lausanne,2021-01-24 15:42:00.000,2021-01-24 15:17:50.399,2021-01-24 15:27:53.846
2021-01-24 15:19:56.189,error_payment,GoodFood Genève,2021-01-24 15:40:00.000,,
2021-01-24 15:24:06.352,complete,Red Pat - Craft Burgers & Beer,2021-01-24 15:53:00.000,2021-01-24 16:06:29.035,2021-01-24 16:07:12.085
2021-01-24 15:46:02.244,complete,GoodFood Basel 2,2021-01-24 16:10:00.000,2021-01-24 15:47:06.192,2021-01-24 15:48:32.591
2021-01-24 15:53:31.276,canceled,Pizza Princess Zürich,2021-01-24 16:18:00.000,,
2021-01-24 15:56:05.506,complete,GoodFood Genève,2021-01-24 16:23:00.000,2021-01-24 16:12:25.953,2021-01-24 16:23:09.300
2021-01-24 16:03:28.974,complete,GoodFood Lausanne,2021-01-24 16:25:00.000,2021-01-24 16:25:20.650,2021-01-24 16:31:30.795
2021-01-24 16:32:41.693,complete,Pizza Princess Neuchâtel,2021-01-24 18:09:00.000,2021-01-24 17:52:44.651,2021-01-24 17:57:29.982
2021-01-24 16:32:51.253,error_payment,GoodFood Basel,2021-01-24 16:57:00.000,,
2021-01-24 16:38:42.981,complete,GoodFood Basel,2021-01-24 17:08:00.000,2021-01-24 16:45:01.829,2021-01-24 17:05:07.746
